Dataset,number_bands,beta,rep,accuracy
indianpines,26,5.0,0,0.7927371273712737
indianpines,26,10.0,0,0.7808130081300813
indianpines,26,1.0,1,0.7868834688346883
indianpines,26,3.0,1,0.7501355013550135
indianpines,26,5.0,1,0.7668292682926829
indianpines,26,10.0,1,0.7835230352303523
indianpines,26,1.0,2,0.7814634146341464
indianpines,26,3.0,2,0.7805962059620596
indianpines,26,5.0,2,0.7765853658536586
indianpines,26,10.0,2,0.7636856368563686
indianpines,26,1.0,3,0.7837398373983739
indianpines,26,3.0,3,0.7594579945799458
indianpines,26,5.0,3,0.7880758807588076
indianpines,26,10.0,3,0.7757181571815718
indianpines,26,1.0,4,0.7833062330623306
indianpines,26,3.0,4,0.7766937669376693
indianpines,26,5.0,4,0.7713821138211382
indianpines,26,10.0,4,0.7772357723577236
indianpines,26,1.0,5,0.7761517615176152
indianpines,26,3.0,5,0.7588075880758808
indianpines,26,5.0,5,0.7890514905149052
indianpines,26,10.0,5,0.7584823848238482
indianpines,26,1.0,6,0.7852574525745257
indianpines,26,3.0,6,0.7717073170731708
indianpines,26,5.0,6,0.778970189701897
indianpines,26,10.0,6,0.7678048780487805
indianpines,26,1.0,7,0.78579945799458
indianpines,26,3.0,7,0.7673712737127372
indianpines,26,5.0,7,0.7765853658536586
indianpines,26,10.0,7,0.770189701897019
indianpines,26,1.0,8,0.7914363143631437
indianpines,26,3.0,8,0.778970189701897
indianpines,26,5.0,8,0.767479674796748
indianpines,26,10.0,8,0.7555555555555555
indianpines,26,1.0,9,0.7892682926829269
indianpines,26,3.0,9,0.7551219512195122
indianpines,26,5.0,9,0.7830894308943089
indianpines,26,10.0,9,0.7774525745257452
indianpines,28,1.0,0,0.7725745257452574
indianpines,28,3.0,0,0.772249322493225
indianpines,28,5.0,0,0.7774525745257452
indianpines,28,10.0,0,0.7764769647696477
indianpines,28,1.0,1,0.7861246612466125
indianpines,28,3.0,1,0.7582655826558266
indianpines,28,5.0,1,0.7554471544715448
indianpines,28,10.0,1,0.7647696476964769
indianpines,28,1.0,2,0.7916531165311653
indianpines,28,3.0,2,0.7650948509485095
indianpines,28,5.0,2,0.7715989159891599
indianpines,28,10.0,2,0.7820054200542006
indianpines,28,1.0,3,0.7723577235772358
indianpines,28,3.0,3,0.767479674796748
indianpines,28,5.0,3,0.7764769647696477
indianpines,28,10.0,3,0.7508943089430894
indianpines,28,1.0,4,0.7841734417344174
indianpines,28,3.0,4,0.7592411924119241
indianpines,28,5.0,4,0.7792953929539296
indianpines,28,10.0,4,0.773550135501355
indianpines,28,1.0,5,0.7731165311653116
indianpines,28,3.0,5,0.7820054200542006
indianpines,28,5.0,5,0.7867750677506775
indianpines,28,10.0,5,0.7751761517615177
indianpines,28,1.0,6,0.7969647696476965
indianpines,28,3.0,6,0.7778861788617886
indianpines,28,5.0,6,0.7866666666666666
